127.0.0.1 - - [20/Jul/2017:13:59:12 -0700] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Jul/2017:13:59:32 -0700] "GET /bulldog/up.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [20/Jul/2017:13:59:32 -0700] "GET /bulldog/js/jquery-1.8.2.js HTTP/1.1" 200 265218
0:0:0:0:0:0:0:1 - - [20/Jul/2017:13:59:32 -0700] "GET /bulldog/js/jquery.ajaxfileupload.js HTTP/1.1" 200 5812
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:01:04 -0700] "GET /bulldog/up.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:01:04 -0700] "GET /bulldog/js/jquery-1.8.2.js HTTP/1.1" 200 265218
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:01:04 -0700] "GET /bulldog/js/jquery.ajaxfileupload.js HTTP/1.1" 200 5812
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:01:04 -0700] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:01:19 -0700] "POST /bulldog/upload HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:01:44 -0700] "GET /bulldog/up.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:02:48 -0700] "GET /bulldog/up.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:03:17 -0700] "POST /bulldog/upload HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:07:53 -0700] "GET /bulldog//052D/054A/055/jianbing/guozi HTTP/1.1" 200 4700
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:08 -0700] "GET /bulldog/ HTTP/1.1" 200 31633
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:08 -0700] "GET /bulldog/css/timber.css HTTP/1.1" 200 77662
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:08 -0700] "GET /bulldog/css/ajaxify.scss.css HTTP/1.1" 200 17093
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:08 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:08 -0700] "GET /bulldog/js/modernizr.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:23 -0700] "GET /bulldog/ HTTP/1.1" 200 31633
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:23 -0700] "GET /bulldog/css/ajaxify.scss.css HTTP/1.1" 200 17093
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:23 -0700] "GET /bulldog/css/timber.css HTTP/1.1" 200 77662
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:23 -0700] "GET /bulldog/js/modernizr.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:23 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:37:23 -0700] "GET /bulldog/js/modernizr.min.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:38:34 -0700] "GET /bulldog/ HTTP/1.1" 200 31633
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:38:34 -0700] "GET /bulldog/css/ajaxify.scss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:38:34 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:38:34 -0700] "GET /bulldog/js/modernizr.min.js HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [20/Jul/2017:14:38:34 -0700] "GET /bulldog/css/timber.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:01:33 -0700] "GET /bulldog/ HTTP/1.1" 200 31240
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:01:33 -0700] "GET /bulldog/js/modernizr.min.js HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:01:33 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:01:40 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:01:54 -0700] "GET /cart.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:02:09 -0700] "GET /bulldog/ HTTP/1.1" 200 31240
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:02:09 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:04:48 -0700] "GET /bulldog/ HTTP/1.1" 200 31677
0:0:0:0:0:0:0:1 - - [20/Jul/2017:15:04:48 -0700] "GET /bulldog/main.css HTTP/1.1" 404 1097
